pk_person_features,person_uri,occupation_main,occupation_sec1,coded_employer
7,http://www.wikidata.org/entity/Q106020252,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,organisation
11,http://www.wikidata.org/entity/Q106635078,personnalité politique,anciens-cadres,other
19,http://www.wikidata.org/entity/Q109681600,personnalité politique,syndicaliste,other
27,http://www.wikidata.org/entity/Q110934545,personnalité politique,journaliste,quotidien
29,http://www.wikidata.org/entity/Q111378729,personnalité politique,personnes-diverses-sans-activité-professionnelle-de-moins-de-60-ans-sauf-retraités,organisation
105,http://www.wikidata.org/entity/Q112649548,personnalité politique,"professeurs,-professions-scientifiques",univ_organisation
119,http://www.wikidata.org/entity/Q112650407,personnalité politique,employés-administratifs-d'entreprise,organisation
139,http://www.wikidata.org/entity/Q112651418,personnalité politique,"professeurs,-professions-scientifiques",organisation
155,http://www.wikidata.org/entity/Q112652262,personnalité politique,personnes-diverses-sans-activité-professionnelle-de-moins-de-60-ans-sauf-retraités,organisation
171,http://www.wikidata.org/entity/Q112653333,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,organisation
176,http://www.wikidata.org/entity/Q112653860,personnalité politique,employés-civils-et-agents-de-service-de-la-fonction-publique,organisation
243,http://www.wikidata.org/entity/Q126537376,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,organisation
257,http://www.wikidata.org/entity/Q126684712,personnalité politique,attaché-territorial,other
286,http://www.wikidata.org/entity/Q127247869,personnalité politique,"contremaîtres,-agents-de-maîtrise",organisation
323,http://www.wikidata.org/entity/Q12923,personnalité politique,médecin,université
336,http://www.wikidata.org/entity/Q12946,personnalité politique,officiel,other
337,http://www.wikidata.org/entity/Q12955,personnalité politique,professeur-d'université,université
339,http://www.wikidata.org/entity/Q12957,personnalité politique,économiste,univ_organisation
398,http://www.wikidata.org/entity/Q15869276,personnalité politique,journaliste,université
416,http://www.wikidata.org/entity/Q15981,personnalité politique,avocat-ou-avocate,université
492,http://www.wikidata.org/entity/Q16627713,personnalité politique,ingénieurs-et-cadres-techniques-d'entreprise,université
577,http://www.wikidata.org/entity/Q1685524,personnalité politique,juriste,univ_other
658,http://www.wikidata.org/entity/Q17632457,personnalité politique,"professions-de-l'information,-des-arts-et-des-spectacles",organisation
666,http://www.wikidata.org/entity/Q18553,personnalité politique,avocat-ou-avocate,organisation
720,http://www.wikidata.org/entity/Q19358512,personnalité politique,journaliste,quotidien
785,http://www.wikidata.org/entity/Q198005,personnalité politique,écrivain-ou-écrivaine,univ_organisation
807,http://www.wikidata.org/entity/Q21013136,personnalité politique,"professeurs,-professions-scientifiques",univ_other
820,http://www.wikidata.org/entity/Q215569,personnalité politique,diplomate,other
826,http://www.wikidata.org/entity/Q2185,personnalité politique,banquier,other
832,http://www.wikidata.org/entity/Q22683833,personnalité politique,chefs-d'entreprise-de-10-salariés-ou-plus,organisation
841,http://www.wikidata.org/entity/Q2277769,personnalité politique,enseignant-chercheur-ou-enseignante-chercheuse,organisation
844,http://www.wikidata.org/entity/Q228977,personnalité politique,anciens-cadres,other
852,http://www.wikidata.org/entity/Q23374860,personnalité politique,anciens-cadres,other
879,http://www.wikidata.org/entity/Q23907483,personnalité politique,économiste,université
944,http://www.wikidata.org/entity/Q270094,personnalité politique,politologue,univ_organisation
952,http://www.wikidata.org/entity/Q274267,personnalité politique,journaliste,quotidien
996,http://www.wikidata.org/entity/Q2829881,personnalité politique,journaliste,quotidien
1086,http://www.wikidata.org/entity/Q2848335,personnalité politique,pilote-de-course-automobile,other
1138,http://www.wikidata.org/entity/Q2865057,personnalité politique,journaliste,quotidien
1149,http://www.wikidata.org/entity/Q2872015,personnalité politique,"professeurs,-professions-scientifiques",univ_other
1151,http://www.wikidata.org/entity/Q2874956,personnalité politique,journaliste,other
1154,http://www.wikidata.org/entity/Q28914642,personnalité politique,professions-libérales-et-assimilés,other
1156,http://www.wikidata.org/entity/Q2896372,personnalité politique,chefs-d'entreprise-de-10-salariés-ou-plus,univ_organisation
1174,http://www.wikidata.org/entity/Q2897761,personnalité politique,médecin,univ_organisation
1211,http://www.wikidata.org/entity/Q2908882,personnalité politique,enseignant-ou-enseignante,organisation
1229,http://www.wikidata.org/entity/Q2926654,personnalité politique,ingénieur-ou-ingénieure,organisation
1285,http://www.wikidata.org/entity/Q2965058,personnalité politique,officiel,organisation
1308,http://www.wikidata.org/entity/Q2965938,personnalité politique,juriste,université
1325,http://www.wikidata.org/entity/Q2977355,personnalité politique,résistant-ou-résistante,other
1343,http://www.wikidata.org/entity/Q2978384,personnalité politique,avocat-ou-avocate,université
1354,http://www.wikidata.org/entity/Q29896234,personnalité politique,"professions-de-l'information,-des-arts-et-des-spectacles",other
1357,http://www.wikidata.org/entity/Q30068067,personnalité politique,diplomate,organisation
1373,http://www.wikidata.org/entity/Q3014035,personnalité politique,"professeurs,-professions-scientifiques",organisation
1389,http://www.wikidata.org/entity/Q3015137,personnalité politique,"professeurs,-professions-scientifiques",université
1394,http://www.wikidata.org/entity/Q30223120,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,univ_other
1435,http://www.wikidata.org/entity/Q30335095,personnalité politique,ingénieurs-et-cadres-techniques-d'entreprise,other
1439,http://www.wikidata.org/entity/Q30335887,personnalité politique,anciens-cadres,université
1453,http://www.wikidata.org/entity/Q30337196,personnalité politique,juriste,université
1461,http://www.wikidata.org/entity/Q30338881,personnalité politique,professions-libérales-et-assimilés,other
1490,http://www.wikidata.org/entity/Q30339281,personnalité politique,"professeurs,-professions-scientifiques",organisation
1494,http://www.wikidata.org/entity/Q30339298,personnalité politique,"professeurs,-professions-scientifiques",université
1506,http://www.wikidata.org/entity/Q30339356,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,other
1516,http://www.wikidata.org/entity/Q30339402,personnalité politique,management-intermédiaire,organisation
1535,http://www.wikidata.org/entity/Q30342530,personnalité politique,"professeurs,-professions-scientifiques",université
1552,http://www.wikidata.org/entity/Q30343074,personnalité politique,professions-libérales-et-assimilés,other
1556,http://www.wikidata.org/entity/Q30343112,personnalité politique,chefs-d'entreprise-de-10-salariés-ou-plus,organisation
1562,http://www.wikidata.org/entity/Q30343212,personnalité politique,diplomate,univ_other
